id_ag_num_a;id_ag_num_b;1;2;3;4;5;6;7;NO_x;NAME_x;LON_x;LAT_x;NO_y;NAME_y;LON_y;LAT_y;ID
10733;10673;41.0;41.0;41.0;41.0;41.0;15.0;0.0;10733;CROLLES, TEISSEIRE;5.887479782104492;45.27219009399414;10673;CROLLES, RUE DU PRE ROUX;5.887430191040039;45.270938873291016;908
10734;10125;2.0;2.0;2.0;2.0;2.0;0.0;0.0;10734;JARRIE, LES THEVENETS;5.7510199546813965;45.1157112121582;10125;JARRIE, LES CHABERTS;5.749360084533691;45.10734176635742;909
10734;10437;16.0;16.0;16.0;16.0;16.0;5.0;0.0;10734;JARRIE, LES THEVENETS;5.7510199546813965;45.1157112121582;10437;JARRIE, LE PLATRE;5.747900009155273;45.117759704589844;910
10734;10696;13.0;13.0;13.0;13.0;13.0;5.0;0.0;10734;JARRIE, LES THEVENETS;5.7510199546813965;45.1157112121582;10696;JARRIE, LES SIMIANES;5.757780075073242;45.116119384765625;911
10735;10438;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10735;VAULNAVEYS-LE-BAS, LES TRAVERS;5.791619777679443;45.0913200378418;10438;VAULNAVEYS-LE-BAS, CHEMIN DES COTTES;5.793260097503662;45.09397888183594;912
10735;10608;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10735;VAULNAVEYS-LE-BAS, LES TRAVERS;5.791619777679443;45.0913200378418;10608;VIZILLE, LE PONT DU MAS;5.788869857788086;45.086788177490234;913
10737;10361;233.0;233.0;233.0;233.0;233.0;172.0;114.0;10737;LA TRONCHE, HOPITAL COUPLE ENFANT;5.74183988571167;45.201229095458984;10361;GRENOBLE, ILE VERTE;5.73661994934082;45.19712829589844;914
10737;10506;233.0;233.0;233.0;233.0;233.0;172.0;114.0;10737;LA TRONCHE, HOPITAL COUPLE ENFANT;5.74183988571167;45.201229095458984;10506;LA TRONCHE, HOPITAL MICHALLON - GRESIVAUDAN;5.745329856872559;45.200279235839844;915
10737;10536;66.0;66.0;66.0;66.0;66.0;44.0;28.0;10737;LA TRONCHE, HOPITAL COUPLE ENFANT;5.74183988571167;45.201229095458984;10536;LA TRONCHE, HOPITAL - NEUROSCIENCE;5.743899822235107;45.19832992553711;916
10738;10123;88.0;88.0;88.0;88.0;88.0;81.0;51.0;10738;SEYSSINS, TUILERIE;5.692150115966797;45.16905975341797;10123;SEYSSINS, GRAND PRE - CENTRE SUD;5.694570064544678;45.170841217041016;917
10738;10569;6.0;6.0;6.0;6.0;6.0;1.0;2.0;10738;SEYSSINS, TUILERIE;5.692150115966797;45.16905975341797;10569;SEYSSINET-PARISET, PERCEVALIERE;5.686820030212402;45.17015838623047;918
10738;10626;93.0;93.0;93.0;93.0;93.0;81.0;52.0;10738;SEYSSINS, TUILERIE;5.692150115966797;45.16905975341797;10626;SEYSSINS, LE PRISME;5.690549850463867;45.16638946533203;919
10739;10229;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10739;SAINT-MARTIN-D'URIAGE, URIAGE GARE;5.8294901847839355;45.14398956298828;10229;SAINT-MARTIN-D'URIAGE, CROISEMENT 6;5.825399875640869;45.152870178222656;920
