sous_ligne;id_ligne_num;route_short_name;route_long_name;1;2;3;4;5;6;7
43_0_10348_10164_2_758.0;43;67;Grenoble Grand'place / Herbeys Le Bourg;1.516;1.516;1.516;1.516;1.516;0.0;0.0
43_0_10348_10202_15_6719.0;43;67;Grenoble Grand'place / Herbeys Le Bourg;20.157;20.157;20.157;20.157;20.157;0.0;0.0
43_0_10348_10327_14_5867.0;43;67;Grenoble Grand'place / Herbeys Le Bourg;58.67;58.67;58.67;58.67;58.67;46.936;0.0
43_1_10202_10164_15_7466.0;43;67;Grenoble Grand'place / Herbeys Le Bourg;7.466;7.466;7.466;7.466;7.466;0.0;0.0
43_1_10202_10348_14_6708.0;43;67;Grenoble Grand'place / Herbeys Le Bourg;20.124;20.124;20.124;20.124;20.124;0.0;0.0
43_1_10327_10164_14_6614.0;43;67;Grenoble Grand'place / Herbeys Le Bourg;6.614;6.614;6.614;6.614;6.614;46.298;0.0
43_1_10327_10348_13_5856.0;43;67;Grenoble Grand'place / Herbeys Le Bourg;46.848;46.848;46.848;46.848;46.848;0.0;0.0
44_0_10600_10092_11_379.0;44;68;Eybens Le Verderet / ÉCHIROLLES La Rampe - Centre-Ville;0.758;0.758;0.758;0.758;0.758;0.0;0.0
44_0_10600_10758_13_734.0;44;68;Eybens Le Verderet / ÉCHIROLLES La Rampe - Centre-Ville;2.202;2.202;2.202;2.202;2.202;4.404;0.0
44_0_10600_10758_14_734.0;44;68;Eybens Le Verderet / ÉCHIROLLES La Rampe - Centre-Ville;2.936;2.936;2.936;2.936;2.936;0.0;0.0
44_1_10758_10600_13_574.0;44;68;Eybens Le Verderet / ÉCHIROLLES La Rampe - Centre-Ville;1.148;1.148;1.148;1.148;1.148;3.444;0.0
44_1_10758_10600_14_574.0;44;68;Eybens Le Verderet / ÉCHIROLLES La Rampe - Centre-Ville;2.296;2.296;2.296;2.296;2.296;0.0;0.0
45_0_10513_10396_23_12084.0;45;70;Champ-sur-Drac La Melle / Montchaboud Le Village;96.672;96.672;96.672;96.672;96.672;60.42;0.0
45_0_10513_10464_13_5221.0;45;70;Champ-sur-Drac La Melle / Montchaboud Le Village;5.221;5.221;5.221;5.221;5.221;0.0;0.0
45_1_10138_10513_4_1904.0;45;70;Champ-sur-Drac La Melle / Montchaboud Le Village;1.904;1.904;1.904;1.904;1.904;0.0;0.0
45_1_10396_10138_19_9351.0;45;70;Champ-sur-Drac La Melle / Montchaboud Le Village;9.351;9.351;9.351;9.351;9.351;0.0;0.0
45_1_10396_10144_11_6869.0;45;70;Champ-sur-Drac La Melle / Montchaboud Le Village;6.869;6.869;6.869;6.869;6.869;0.0;0.0
45_1_10396_10513_22_11255.0;45;70;Champ-sur-Drac La Melle / Montchaboud Le Village;78.785;78.785;78.785;78.785;78.785;56.275;0.0
46_0_10584_10313_10_6689.0;46;71;Jarrie Gare / Champagnier Place du Laca;13.378;13.378;13.378;13.378;13.378;0.0;0.0
46_1_10313_10584_10_6689.0;46;71;Jarrie Gare / Champagnier Place du Laca;20.067;20.067;20.067;20.067;20.067;0.0;0.0
47_0_10533_10494_11_6889.0;47;73;Vif Mairie / Notre-Dame-de-Commiers Le Village;6.889;6.889;6.889;6.889;6.889;0.0;0.0
47_0_10533_10520_3_700.0;47;73;Vif Mairie / Notre-Dame-de-Commiers Le Village;1.4;1.4;1.4;1.4;1.4;0.0;0.0
47_0_10533_10771_16_9346.0;47;73;Vif Mairie / Notre-Dame-de-Commiers Le Village;18.692;9.346;18.692;9.346;9.346;0.0;0.0
47_1_10494_10520_13_7589.0;47;73;Vif Mairie / Notre-Dame-de-Commiers Le Village;7.589;7.589;7.589;7.589;7.589;0.0;0.0
47_1_10533_10560_16_14803.0;47;73;Vif Mairie / Notre-Dame-de-Commiers Le Village;14.803;0.0;14.803;0.0;14.803;0.0;0.0
47_1_10771_10520_18_10046.0;47;73;Vif Mairie / Notre-Dame-de-Commiers Le Village;10.046;10.046;10.046;10.046;10.046;0.0;0.0
48_0_10327_10403_20_8447.0;48;A;Fontaine La Poya / Le Pont-de-Claix L'Etoile;126.705;126.705;126.705;126.705;126.705;101.364;25.341
48_0_10453_10403_31_12880.0;48;A;Fontaine La Poya / Le Pont-de-Claix L'Etoile;2588.88;2588.88;2588.88;2588.88;2588.88;1674.4;953.12
48_0_10453_10599_11_4184.0;48;A;Fontaine La Poya / Le Pont-de-Claix L'Etoile;12.552;12.552;12.552;12.552;12.552;12.552;12.552
48_1_10327_10453_12_4433.0;48;A;Fontaine La Poya / Le Pont-de-Claix L'Etoile;22.165;22.165;22.165;22.165;22.165;17.732;22.165
48_1_10403_10327_20_8447.0;48;A;Fontaine La Poya / Le Pont-de-Claix L'Etoile;152.046;152.046;152.046;152.046;152.046;92.917;25.341
48_1_10403_10453_31_12880.0;48;A;Fontaine La Poya / Le Pont-de-Claix L'Etoile;2550.24;2550.24;2550.24;2550.24;2550.24;1687.28;953.12
48_1_10599_10453_11_4184.0;48;A;Fontaine La Poya / Le Pont-de-Claix L'Etoile;50.208;50.208;50.208;50.208;50.208;25.104;4.184
49_0_10589_10548_22_9682.0;49;B;Grenoble Oxford / Gières Plaine des Sports;1539.438;1539.438;1539.438;1539.438;1539.438;968.2;551.874
49_1_10548_10589_22_9682.0;49;B;Grenoble Oxford / Gières Plaine des Sports;1539.438;1539.438;1539.438;1539.438;1539.438;968.2;551.874
50_0_10215_10626_19_8825.0;50;C;Seyssins Le Prisme / Saint-Martin-d'Hères Université - Condillac;1314.925;1014.875;1014.875;1314.925;1014.875;758.95;397.125
50_0_10589_10626_22_10166.0;50;C;Seyssins Le Prisme / Saint-Martin-d'Hères Université - Condillac;254.15;132.158;132.158;254.15;132.158;81.328;111.826
50_1_10626_10215_19_8825.0;50;C;Seyssins Le Prisme / Saint-Martin-d'Hères Université - Condillac;1314.925;1014.875;1014.875;1314.925;1014.875;758.95;397.125
50_1_10626_10589_22_10166.0;50;C;Seyssins Le Prisme / Saint-Martin-d'Hères Université - Condillac;254.15;132.158;132.158;254.15;132.158;81.328;111.826
51_0_10282_10312_16_6754.0;51;D;Grenoble Gares / Saint-Martin-d'Hères Etienne Grappe;486.288;486.288;486.288;486.288;486.288;466.026;378.224
51_0_10589_10282_12_5113.0;51;D;Grenoble Gares / Saint-Martin-d'Hères Etienne Grappe;15.339;15.339;15.339;15.339;15.339;10.226;15.339
51_0_10589_10312_17_7225.0;51;D;Grenoble Gares / Saint-Martin-d'Hères Etienne Grappe;14.45;14.45;14.45;14.45;14.45;21.675;7.225
51_1_10282_10589_12_5113.0;51;D;Grenoble Gares / Saint-Martin-d'Hères Etienne Grappe;20.452;20.452;20.452;20.452;20.452;20.452;15.339
51_1_10312_10282_16_6754.0;51;D;Grenoble Gares / Saint-Martin-d'Hères Etienne Grappe;493.042;493.042;493.042;493.042;493.042;479.534;378.224
51_1_10312_10589_17_7225.0;51;D;Grenoble Gares / Saint-Martin-d'Hères Etienne Grappe;7.225;7.225;7.225;7.225;7.225;7.225;7.225
52_0_10459_10304_17_11009.0;52;E;Fontanil-Cornillon Palluel / Grenoble Louise Michel;1409.152;1409.152;1409.152;1409.152;1409.152;946.774;594.486
52_0_10589_10216_15_6959.0;52;E;Fontanil-Cornillon Palluel / Grenoble Louise Michel;20.877;20.877;20.877;20.877;20.877;20.877;20.877
52_0_10589_10304_28_16164.0;52;E;Fontanil-Cornillon Palluel / Grenoble Louise Michel;258.624;258.624;258.624;258.624;258.624;64.656;16.164
52_1_10216_10459_4_1804.0;52;E;Fontanil-Cornillon Palluel / Grenoble Louise Michel;5.412;5.412;5.412;5.412;5.412;5.412;5.412
52_1_10293_10589_14_6333.0;52;E;Fontanil-Cornillon Palluel / Grenoble Louise Michel;107.661;107.661;107.661;107.661;107.661;31.665;12.666
52_1_10304_10459_17_11009.0;52;E;Fontanil-Cornillon Palluel / Grenoble Louise Michel;1563.278;1563.278;1563.278;1563.278;1563.278;968.792;583.477
52_1_10304_10589_28_16164.0;52;E;Fontanil-Cornillon Palluel / Grenoble Louise Michel;16.164;16.164;16.164;16.164;16.164;16.164;16.164
53_0_10327_10478_6_1373.0;53;NAVA;Fontaine La Poya / Le Pont-de-Claix L'Etoile;89.245;89.245;0.0;0.0;0.0;0.0;0.0
53_1_10334_10327_6_933.0;53;NAVA;Fontaine La Poya / Le Pont-de-Claix L'Etoile;60.645;60.645;0.0;0.0;0.0;0.0;0.0
54_0_10019_10304_17_8067.0;54;NAVE;Fontanil-Cornillon Palluel / Grenoble Louise Michel;0.0;72.603;72.603;72.603;0.0;0.0;0.0
54_1_10304_10019_17_7768.0;54;NAVE;Fontanil-Cornillon Palluel / Grenoble Louise Michel;0.0;62.144;62.144;62.144;0.0;0.0;0.0
