id_course;id_course_num;id_ligne_num;id_service_num;sous_ligne;direction_id;id_ap_num_debut;id_ag_num_debut;h_dep_num;heure_depart;id_ap_num_terminus;id_ag_num_terminus;heure_arrive;h_arr_num;nb_arrets;DIST_Vol_Oiseau
419-1-1;122;3;12;3_0_10116_10236_15_25496.0;0;100130;10116;0.5034722222222222;12:04;100267;10236;13:19;0.5555555555555555;15;25496.0
420-1-2;123;3;12;3_0_10116_10236_18_27677.0;0;100130;10116;0.7270833333333334;17:27;100267;10236;18:28;0.7694444444444445;18;27677.0
1010075-1-1;132;3;13;3_1_10236_10117_17_24071.0;1;100267;10236;0.2777777777777778;06:40;100131;10117;07:30;0.3125;17;24071.0
1010076-1-1;133;3;13;3_1_10022_10116_17_20971.0;1;100026;10022;0.3125;07:30;100130;10116;08:30;0.35416666666666663;17;20971.0
425-1-1;130;3;14;3_0_10116_10022_15_19949.0;0;100130;10116;0.7152777777777778;17:10;100026;10022;18:00;0.75;15;19949.0
1010078-1-1;135;3;18;3_1_10022_10116_15_19540.0;1;100026;10022;0.3125;07:30;100130;10116;08:30;0.35416666666666663;15;19540.0
1009242-1-2;128;3;22;3_0_10116_10236_16_24946.0;0;100130;10116;0.732638888888889;17:35;100267;10236;18:25;0.7673611111111112;16;24946.0
1009242-1-1;127;3;26;3_0_10116_10236_16_24946.0;0;100130;10116;0.7152777777777778;17:10;100267;10236;18:00;0.75;16;24946.0
420-1-1;129;3;27;3_0_10116_10236_18_27677.0;0;100130;10116;0.5104166666666666;12:15;100267;10236;13:12;0.5506944444444444;18;27677.0
424-1-1;131;3;28;3_0_10116_10236_18_27677.0;0;100130;10116;0.5104166666666666;12:15;100267;10236;13:12;0.5506944444444444;18;27677.0
1009249-1-1;148;4;11;4_0_10172_10088_31_58719.0;0;100193;10172;0.7430555555555556;17:50;100098;10088;19:39;0.8194444444444444;31;58719.0
436-1-3;149;4;11;4_1_10084_10170_30_56739.0;1;100094;10084;0.6701388888888888;16:04;100262;10170;18:00;0.75;30;56739.0
1010081-1-1;150;4;11;4_1_10088_10170_26_55112.0;1;100098;10088;0.7604166666666666;18:15;100262;10170;19:49;0.8263888888888888;26;55112.0
1009253-1-1;156;4;13;4_0_10105_10088_10_32535.0;0;100118;10105;0.2743055555555556;06:35;100098;10088;07:31;0.3138888888888889;10;32535.0
429-1-2;151;4;20;4_0_10172_10088_30_55997.0;0;100193;10172;0.2604166666666667;06:15;100098;10088;07:52;0.3284722222222222;30;55997.0
431-1-1;152;4;20;4_0_10172_10088_31_56058.0;0;100193;10172;0.5104166666666666;12:15;100098;10088;13:49;0.5763888888888888;31;56058.0
431-1-2;153;4;20;4_0_10172_10088_31_56058.0;0;100193;10172;0.7152777777777778;17:10;100098;10088;18:45;0.78125;31;56058.0
430-1-1;143;4;22;4_0_10101_10088_15_37012.0;0;100114;10101;0.6680555555555555;16:01;100098;10088;16:54;0.704861111111111;15;37012.0
1010084-1-1;144;4;22;4_1_10088_10173_18_49376.0;1;100098;10088;0.7222222222222222;17:19;100194;10173;18:49;0.7847222222222222;18;49376.0
1009251-1-2;154;4;23;4_0_10167_10088_31_57199.0;0;100187;10167;0.5034722222222222;12:04;100098;10088;13:45;0.5729166666666666;31;57199.0
436-1-2;155;4;23;4_1_10084_10170_30_56739.0;1;100094;10084;0.5104166666666666;12:15;100262;10170;14:07;0.5888888888888889;30;56739.0
