sous_ligne;id_ligne_num;route_short_name;route_long_name;id_ag_num_debut;id_ag_num_terminus;ag_origin_name;ag_destination_name;Type_Jour_Vacances_A;Debut;Fin;Nb_courses;Duree;Headway_FM;Headway_HPM;Headway_HC;Headway_HPS;Headway_FS
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Mardi_Scolaire;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Mercredi_Scolaire;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Semaine_Vacances;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Vendredi_Scolaire;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Jeudi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Lundi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Mardi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Mercredi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Samedi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Samedi_Vacances;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Semaine_Vacances;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Vendredi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Jeudi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Lundi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Mardi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
