id_ap;stop_lat;stop_lon;stop_name;location_type;id_ag;id_ag_num;id_ap_num
200909;46.94889;5.360749;LONGWY HOTELANS RD13;0;83;10083;100093
200635;46.673122;5.558232;LONS AVENUE JEAN MOULIN;0;84;10084;100094
200838;46.6725;5.5554934;LONS AVENUE DE LA MARSEILLAISE;0;85;10085;100095
200536;46.67277;5.553163;LONS AVENUE THUREL;0;86;10086;100096
200938;46.669926;5.551513;LONS COLLEGE BRIAND;0;87;10087;100097
200491;46.66883;5.5524235;LONS GARE SNCF;0;88;10088;100098
200537;46.672802;5.5416427;LONS LYCEE MONTCIEL;0;89;10089;100099
200876;46.6846;5.5664787;LONS PISCINE;0;90;10090;100100
200783;47.02637;5.5580373;LOYE (LA) PLACE;0;91;10091;100101
200636;46.579826;5.6287026;RD470;0;92;10092;100102
200637;46.574986;5.639519;VILLAGE;0;93;10093;100103
200784;46.931664;5.677891;MOLAMBOZ;0;94;10094;100104
200538;46.566135;5.416773;CARF LE SORBIER;0;95;10095;100105
200568;46.565952;5.416746;RD 1083;0;95;10095;100106
200699;46.591763;5.679614;THURON;0;96;10096;100107
200539;46.66316;5.522151;MESSIA/SORNE VILLAGE;0;97;10097;100108
200558;46.663025;5.522271;SALLE DES FETES;0;97;10097;100109
200540;46.659996;5.517446;MESSIA/SORNE Z.I.;0;98;10098;100110
200559;46.6598;5.5176344;ROUTE DE LYON;0;98;10098;100111
200638;46.498833;5.7266183;MAIRIE ECOLE;0;99;10099;100112
200839;46.69638;5.7266626;VILLAGE;0;100;10100;100113
200967;46.436253;5.7226353;CITE SCOLAIRE;0;101;10101;100114
200641;46.434605;5.725375;GENDARMERIE;0;102;10102;100115
200661;46.433613;5.724916;MOIRANS EN MTGNE VOLTAIRE;0;103;10103;100116
200642;46.42869;5.725943;POSTE;0;104;10104;100117
200643;46.43892;5.7214637;RTE CRENANS;0;105;10105;100118
200660;46.43828;5.722672;MOIRANS-MGNE - FRANCHE COMTE;0;106;10106;100119
200952;46.89664;5.6458125;RD905;0;107;10107;100120
200877;46.67667;5.522836;PRE DE LA TOUR;0;108;10108;100121
200891;46.675602;5.529921;AVENUE MAILLOT;0;109;10109;100122
200879;46.686363;5.506111;GRAND SUGNY;0;110;10110;100123
200541;46.67297;5.529163;PONT SNCF;0;111;10111;100124
200557;46.673103;5.529359;RIVOIRE;0;111;10111;100125
200786;46.98252;5.597874;MONT S/S VAUDREY CAR. GARE;0;112;10112;100126
200788;46.980595;5.602764;MONT S/S VAUDREY EGLISE;0;113;10113;100127
200700;46.5363;6.015862;MAIRIE-EGLISE;0;114;10114;100128
200968;46.54158;6.017085;PONT GODARD;0;115;10115;100129
200618;46.52648;6.0237427;MOREZ GARE S.N.C.F.;0;116;10116;100130
200620;46.520164;6.023046;MOREZ VILLE;0;117;10117;100131
200619;46.51804;6.0240707;MOREZ PLACE LISSAC;0;118;10118;100132
200825;46.977936;5.8065424;BEL AIR;0;119;10119;100133
200826;46.97623;5.801104;GARE S.N.C.F.;0;120;10120;100134
200827;46.96959;5.7953515;GYMNASE LYCEE BOIS;0;121;10121;100135
200542;46.42346;5.3494735;NANC ST AMOUR CARF RD3/RD1083;0;122;10122;100136
