id_ligne_num;route_short_name;route_long_name;sous_ligne;id_ag_num_debut;id_ag_num_terminus;direction_id;nb_arrets;DIST_Vol_Oiseau;ag_origin_name;ag_destination_name
5;309;LONS LE SAUNIER - MOREZ;5_0_10116_10088_20_47240.0;10116;10088;0;20;47240.0;MOREZ GARE S.N.C.F.;LONS GARE SNCF
5;309;LONS LE SAUNIER - MOREZ;5_0_10116_10088_21_47516.0;10116;10088;0;21;47516.0;MOREZ GARE S.N.C.F.;LONS GARE SNCF
5;309;LONS LE SAUNIER - MOREZ;5_0_10116_10088_7_42987.0;10116;10088;0;7;42987.0;MOREZ GARE S.N.C.F.;LONS GARE SNCF
5;309;LONS LE SAUNIER - MOREZ;5_0_10053_10088_11_20496.0;10053;10088;0;11;20496.0;CLAIRVAUX MAIRIE;LONS GARE SNCF
5;309;LONS LE SAUNIER - MOREZ;5_1_10088_10116_16_45868.0;10088;10116;1;16;45868.0;LONS GARE SNCF;MOREZ GARE S.N.C.F.
5;309;LONS LE SAUNIER - MOREZ;5_1_10088_10116_20_47240.0;10088;10116;1;20;47240.0;LONS GARE SNCF;MOREZ GARE S.N.C.F.
5;309;LONS LE SAUNIER - MOREZ;5_1_10088_10116_21_47516.0;10088;10116;1;21;47516.0;LONS GARE SNCF;MOREZ GARE S.N.C.F.
5;309;LONS LE SAUNIER - MOREZ;5_1_10088_10116_7_42987.0;10088;10116;1;7;42987.0;LONS GARE SNCF;MOREZ GARE S.N.C.F.
5;309;LONS LE SAUNIER - MOREZ;5_1_10228_10116_21_48018.0;10228;10116;1;21;48018.0;PLACE DE VERDUN;MOREZ GARE S.N.C.F.
5;309;LONS LE SAUNIER - MOREZ;5_0_10116_10084_20_47617.0;10116;10084;0;20;47617.0;MOREZ GARE S.N.C.F.;LONS AVENUE JEAN MOULIN
6;312;ARBOIS-MOUCHARD-DOLE;6_0_10010_10067_13_32959.0;10010;10067;0;13;32959.0;LA FOULE;GARE ROUTIERE
6;312;ARBOIS-MOUCHARD-DOLE;6_0_10010_10069_15_35156.0;10010;10069;0;15;35156.0;LA FOULE;DUHAMEL
6;312;ARBOIS-MOUCHARD-DOLE;6_1_10067_10010_12_31892.0;10067;10010;1;12;31892.0;GARE ROUTIERE;LA FOULE
6;312;ARBOIS-MOUCHARD-DOLE;6_1_10067_10010_14_41088.0;10067;10010;1;14;41088.0;GARE ROUTIERE;LA FOULE
6;312;ARBOIS-MOUCHARD-DOLE;6_1_10069_10010_13_33978.0;10069;10010;1;13;33978.0;DUHAMEL;LA FOULE
6;312;ARBOIS-MOUCHARD-DOLE;6_1_10069_10010_15_43174.0;10069;10010;1;15;43174.0;DUHAMEL;LA FOULE
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_0_10182_10038_12_25464.0;10182;10038;0;12;25464.0;LYCEE;LYCEE P. E. VICTOR
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_0_10182_10038_15_25866.0;10182;10038;0;15;25866.0;LYCEE;LYCEE P. E. VICTOR
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_0_10183_10038_11_23860.0;10183;10038;0;11;23860.0;OLIVET;LYCEE P. E. VICTOR
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_0_10183_10039_8_24025.0;10183;10039;0;8;24025.0;OLIVET;PLACE PROST CHALET
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_1_10036_10182_14_26689.0;10036;10182;1;14;26689.0;COLLEGE LOUATAUX;LYCEE
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_1_10036_10183_13_26245.0;10036;10183;1;13;26245.0;COLLEGE LOUATAUX;OLIVET
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_1_10039_10183_12_25422.0;10039;10183;1;12;25422.0;PLACE PROST CHALET;OLIVET
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_1_10039_10183_14_26560.0;10039;10183;1;14;26560.0;PLACE PROST CHALET;OLIVET
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_1_10039_10183_8_24025.0;10039;10183;1;8;24025.0;PLACE PROST CHALET;OLIVET
7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;7_1_10039_10183_9_25400.0;10039;10183;1;9;25400.0;PLACE PROST CHALET;OLIVET
8;314;MOUCHARD - SALINS LES BAINS;8_0_10120_10182_7_7431.0;10120;10182;0;7;7431.0;GARE S.N.C.F.;LYCEE
8;314;MOUCHARD - SALINS LES BAINS;8_0_10120_10220_4_8485.0;10120;10220;0;4;8485.0;GARE S.N.C.F.;SALINES
8;314;MOUCHARD - SALINS LES BAINS;8_0_10120_10220_7_8102.0;10120;10220;0;7;8102.0;GARE S.N.C.F.;SALINES
8;314;MOUCHARD - SALINS LES BAINS;8_0_10121_10220_9_9679.0;10121;10220;0;9;9679.0;GYMNASE LYCEE BOIS;SALINES
8;314;MOUCHARD - SALINS LES BAINS;8_1_10220_10120_7_8102.0;10220;10120;1;7;8102.0;SALINES;GARE S.N.C.F.
8;314;MOUCHARD - SALINS LES BAINS;8_1_10220_10120_8_8821.0;10220;10120;1;8;8821.0;SALINES;GARE S.N.C.F.
8;314;MOUCHARD - SALINS LES BAINS;8_1_10220_10121_9_9679.0;10220;10121;1;9;9679.0;SALINES;GYMNASE LYCEE BOIS
9;315;CHAMPAGNOLE - LONS LE SAUNIER;9_0_10036_10088_10_33714.0;10036;10088;0;10;33714.0;COLLEGE LOUATAUX;LONS GARE SNCF
9;315;CHAMPAGNOLE - LONS LE SAUNIER;9_0_10037_10088_7_30043.0;10037;10088;0;7;30043.0;GARE S.N.C.F.;LONS GARE SNCF
9;315;CHAMPAGNOLE - LONS LE SAUNIER;9_0_10037_10088_8_31432.0;10037;10088;0;8;31432.0;GARE S.N.C.F.;LONS GARE SNCF
9;315;CHAMPAGNOLE - LONS LE SAUNIER;9_0_10038_10088_9_32498.0;10038;10088;0;9;32498.0;LYCEE P. E. VICTOR;LONS GARE SNCF
9;315;CHAMPAGNOLE - LONS LE SAUNIER;9_0_10038_10088_9_32574.0;10038;10088;0;9;32574.0;LYCEE P. E. VICTOR;LONS GARE SNCF
9;315;CHAMPAGNOLE - LONS LE SAUNIER;9_1_10088_10037_8_31198.0;10088;10037;1;8;31198.0;LONS GARE SNCF;GARE S.N.C.F.
9;315;CHAMPAGNOLE - LONS LE SAUNIER;9_1_10088_10038_6_32702.0;10088;10038;1;6;32702.0;LONS GARE SNCF;LYCEE P. E. VICTOR
9;315;CHAMPAGNOLE - LONS LE SAUNIER;9_1_10088_10038_9_32252.0;10088;10038;1;9;32252.0;LONS GARE SNCF;LYCEE P. E. VICTOR
10;317;CHAUSSIN - LONS LE SAUNIER;10_0_10044_10088_14_24256.0;10044;10088;0;14;24256.0;ECOLE;LONS GARE SNCF
10;317;CHAUSSIN - LONS LE SAUNIER;10_0_10046_10088_21_43448.0;10046;10088;0;21;43448.0;GENDARMERIE;LONS GARE SNCF
10;317;CHAUSSIN - LONS LE SAUNIER;10_0_10046_10088_22_43449.0;10046;10088;0;22;43449.0;GENDARMERIE;LONS GARE SNCF
10;317;CHAUSSIN - LONS LE SAUNIER;10_0_10046_10090_22_45503.0;10046;10090;0;22;45503.0;GENDARMERIE;LONS PISCINE
10;317;CHAUSSIN - LONS LE SAUNIER;10_1_10085_10044_14_24693.0;10085;10044;1;14;24693.0;LONS AVENUE DE LA MARSEILLAISE;ECOLE
10;317;CHAUSSIN - LONS LE SAUNIER;10_1_10085_10046_22_43886.0;10085;10046;1;22;43886.0;LONS AVENUE DE LA MARSEILLAISE;GENDARMERIE
10;317;CHAUSSIN - LONS LE SAUNIER;10_1_10085_10046_23_53608.0;10085;10046;1;23;53608.0;LONS AVENUE DE LA MARSEILLAISE;GENDARMERIE
10;317;CHAUSSIN - LONS LE SAUNIER;10_1_10090_10046_23_45471.0;10090;10046;1;23;45471.0;LONS PISCINE;GENDARMERIE
11;318;PIERRE DE BRESSE - DOLE;11_0_10216_10067_13_35821.0;10216;10067;0;13;35821.0;CHATEAU D'EAU;GARE ROUTIERE
11;318;PIERRE DE BRESSE - DOLE;11_0_10216_10067_14_35879.0;10216;10067;0;14;35879.0;CHATEAU D'EAU;GARE ROUTIERE
11;318;PIERRE DE BRESSE - DOLE;11_0_10216_10069_17_40552.0;10216;10069;0;17;40552.0;CHATEAU D'EAU;DUHAMEL
11;318;PIERRE DE BRESSE - DOLE;11_1_10067_10216_13_35821.0;10067;10216;1;13;35821.0;GARE ROUTIERE;CHATEAU D'EAU
11;318;PIERRE DE BRESSE - DOLE;11_1_10067_10216_14_35879.0;10067;10216;1;14;35879.0;GARE ROUTIERE;CHATEAU D'EAU
12;320;POLIGNY - DOLE;12_0_10144_10067_14_36378.0;10144;10067;0;14;36378.0;CHAMP DE FOIRE;GARE ROUTIERE
12;320;POLIGNY - DOLE;12_1_10067_10145_14_37964.0;10067;10145;1;14;37964.0;GARE ROUTIERE;CHARMILLES
12;320;POLIGNY - DOLE;12_1_10069_10145_15_40050.0;10069;10145;1;15;40050.0;DUHAMEL;CHARMILLES
13;305;SAINT-CLAUDE -  MIJOUX;13_0_10167_10003_15_19848.0;10167;10003;0;15;19848.0;LYCEE PRE ST SAUVEUR;VILLAGE
13;305;SAINT-CLAUDE -  MIJOUX;13_0_10172_10003_13_18642.0;10172;10003;0;13;18642.0;GARE SNCF;VILLAGE
13;305;SAINT-CLAUDE -  MIJOUX;13_0_10167_10075_13_14117.0;10167;10075;0;13;14117.0;LYCEE PRE ST SAUVEUR;ECOLE
13;305;SAINT-CLAUDE -  MIJOUX;13_0_10167_10075_14_14448.0;10167;10075;0;14;14448.0;LYCEE PRE ST SAUVEUR;ECOLE
13;305;SAINT-CLAUDE -  MIJOUX;13_1_10003_10172_15_18697.0;10003;10172;1;15;18697.0;VILLAGE;GARE SNCF
13;305;SAINT-CLAUDE -  MIJOUX;13_1_10003_10172_8_13806.0;10003;10172;1;8;13806.0;VILLAGE;GARE SNCF
13;305;SAINT-CLAUDE -  MIJOUX;13_1_10075_10167_14_15640.0;10075;10167;1;14;15640.0;ECOLE;LYCEE PRE ST SAUVEUR
14;300;LONS LE SAUNIER - DIJON;14_1_10240_10088_3_82824.0;10240;10088;1;3;82824.0;REPUBLIQUE;LONS GARE SNCF
14;300;LONS LE SAUNIER - DIJON;14_0_10088_10240_3_82863.0;10088;10240;0;3;82863.0;LONS GARE SNCF;REPUBLIQUE
