sous_ligne;id_ligne_num;route_short_name;route_long_name;id_ag_num_debut;id_ag_num_terminus;ag_origin_name;ag_destination_name;Dimanche_Scolaire;Dimanche_Vacances;Ferie;Jeudi_Scolaire;Lundi_Scolaire;Mardi_Scolaire;Mercredi_Scolaire;Samedi_Scolaire;Samedi_Vacances;Semaine_Vacances;Vendredi_Scolaire
4_0_10172_10088_30_55997.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10172;10088;GARE SNCF;LONS GARE SNCF;0.0;0.0;0.0;0.0;55.997;0.0;0.0;0.0;55.997;55.997;0.0
4_0_10172_10088_31_56058.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10172;10088;GARE SNCF;LONS GARE SNCF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;112.116;112.116;0.0
4_0_10172_10088_31_58719.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10172;10088;GARE SNCF;LONS GARE SNCF;0.0;0.0;0.0;58.719;58.719;58.719;0.0;0.0;0.0;0.0;58.719
4_0_10101_10088_15_37012.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10101;10088;CITE SCOLAIRE;LONS GARE SNCF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.012
4_0_10105_10088_10_32535.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10105;10088;RTE CRENANS;LONS GARE SNCF;0.0;0.0;0.0;32.535;32.535;32.535;32.535;0.0;0.0;0.0;32.535
4_1_10088_10101_14_36974.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10088;10101;LONS GARE SNCF;CITE SCOLAIRE;0.0;0.0;0.0;0.0;36.974;0.0;0.0;0.0;0.0;0.0;0.0
4_1_10088_10106_14_36755.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10088;10106;LONS GARE SNCF;MOIRANS-MGNE - FRANCHE COMTE;0.0;0.0;0.0;36.755;36.755;36.755;0.0;0.0;0.0;0.0;0.0
4_1_10088_10170_26_55112.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10088;10170;LONS GARE SNCF;RUE CARNOT;0.0;0.0;0.0;55.112;55.112;55.112;0.0;0.0;0.0;0.0;55.112
4_1_10084_10170_30_56739.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10084;10170;LONS AVENUE JEAN MOULIN;RUE CARNOT;0.0;0.0;56.739;113.478;113.478;113.478;113.478;170.217;0.0;0.0;113.478
4_1_10084_10170_31_56761.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10084;10170;LONS AVENUE JEAN MOULIN;RUE CARNOT;0.0;0.0;170.283;0.0;0.0;0.0;0.0;0.0;170.283;170.283;0.0
4_1_10088_10173_18_49376.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10088;10173;LONS GARE SNCF;VILLE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.376
4_1_10084_10173_22_53001.0;4;307;SAINT-CLAUDE  - LONS LE SAUNIER;10084;10173;LONS AVENUE JEAN MOULIN;VILLE;0.0;0.0;0.0;0.0;53.001;0.0;0.0;0.0;0.0;0.0;0.0
5_0_10116_10088_20_47240.0;5;309;LONS LE SAUNIER - MOREZ;10116;10088;MOREZ GARE S.N.C.F.;LONS GARE SNCF;0.0;0.0;0.0;0.0;47.24;0.0;0.0;0.0;0.0;0.0;0.0
5_0_10116_10088_21_47516.0;5;309;LONS LE SAUNIER - MOREZ;10116;10088;MOREZ GARE S.N.C.F.;LONS GARE SNCF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.516
5_0_10116_10088_7_42987.0;5;309;LONS LE SAUNIER - MOREZ;10116;10088;MOREZ GARE S.N.C.F.;LONS GARE SNCF;0.0;0.0;0.0;42.987;42.987;42.987;42.987;0.0;0.0;42.987;42.987
5_0_10053_10088_11_20496.0;5;309;LONS LE SAUNIER - MOREZ;10053;10088;CLAIRVAUX MAIRIE;LONS GARE SNCF;0.0;0.0;0.0;20.496;20.496;20.496;20.496;0.0;0.0;20.496;20.496
5_1_10088_10116_16_45868.0;5;309;LONS LE SAUNIER - MOREZ;10088;10116;LONS GARE SNCF;MOREZ GARE S.N.C.F.;0.0;0.0;0.0;0.0;0.0;0.0;45.868;0.0;0.0;0.0;0.0
5_1_10088_10116_20_47240.0;5;309;LONS LE SAUNIER - MOREZ;10088;10116;LONS GARE SNCF;MOREZ GARE S.N.C.F.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.24
5_1_10088_10116_21_47516.0;5;309;LONS LE SAUNIER - MOREZ;10088;10116;LONS GARE SNCF;MOREZ GARE S.N.C.F.;0.0;0.0;0.0;0.0;47.516;0.0;0.0;0.0;0.0;0.0;0.0
5_1_10088_10116_7_42987.0;5;309;LONS LE SAUNIER - MOREZ;10088;10116;LONS GARE SNCF;MOREZ GARE S.N.C.F.;0.0;0.0;42.987;42.987;42.987;42.987;0.0;0.0;0.0;42.987;42.987
5_1_10228_10116_21_48018.0;5;309;LONS LE SAUNIER - MOREZ;10228;10116;PLACE DE VERDUN;MOREZ GARE S.N.C.F.;0.0;0.0;0.0;48.018;48.018;48.018;48.018;48.018;48.018;48.018;48.018
5_0_10116_10084_20_47617.0;5;309;LONS LE SAUNIER - MOREZ;10116;10084;MOREZ GARE S.N.C.F.;LONS AVENUE JEAN MOULIN;0.0;0.0;0.0;47.617;47.617;47.617;47.617;47.617;47.617;47.617;47.617
6_0_10010_10067_13_32959.0;6;312;ARBOIS-MOUCHARD-DOLE;10010;10067;LA FOULE;GARE ROUTIERE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.959;0.0
6_0_10010_10069_15_35156.0;6;312;ARBOIS-MOUCHARD-DOLE;10010;10069;LA FOULE;DUHAMEL;0.0;0.0;0.0;35.156;35.156;35.156;35.156;0.0;0.0;0.0;35.156
6_1_10067_10010_12_31892.0;6;312;ARBOIS-MOUCHARD-DOLE;10067;10010;GARE ROUTIERE;LA FOULE;0.0;0.0;0.0;31.892;31.892;31.892;31.892;0.0;0.0;31.892;31.892
6_1_10067_10010_14_41088.0;6;312;ARBOIS-MOUCHARD-DOLE;10067;10010;GARE ROUTIERE;LA FOULE;0.0;0.0;0.0;41.088;41.088;41.088;0.0;0.0;0.0;0.0;41.088
6_1_10069_10010_13_33978.0;6;312;ARBOIS-MOUCHARD-DOLE;10069;10010;DUHAMEL;LA FOULE;0.0;0.0;0.0;33.978;33.978;33.978;0.0;0.0;0.0;0.0;33.978
6_1_10069_10010_15_43174.0;6;312;ARBOIS-MOUCHARD-DOLE;10069;10010;DUHAMEL;LA FOULE;0.0;0.0;0.0;0.0;0.0;0.0;43.174;0.0;0.0;0.0;0.0
7_0_10182_10038_12_25464.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10182;10038;LYCEE;LYCEE P. E. VICTOR;0.0;0.0;0.0;50.928;50.928;50.928;0.0;0.0;0.0;0.0;50.928
7_0_10182_10038_15_25866.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10182;10038;LYCEE;LYCEE P. E. VICTOR;0.0;0.0;0.0;0.0;0.0;0.0;25.866;0.0;0.0;0.0;0.0
7_0_10183_10038_11_23860.0;7;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;10183;10038;OLIVET;LYCEE P. E. VICTOR;0.0;0.0;0.0;23.86;23.86;23.86;23.86;0.0;0.0;0.0;23.86
