id_ag_num;stop_name;stop_lat;stop_lon;Dimanche_Scolaire;Dimanche_Vacances;Ferie;Jeudi_Scolaire;Lundi_Scolaire;Mardi_Scolaire;Mercredi_Scolaire;Samedi_Scolaire;Samedi_Vacances;Semaine_Vacances;Vendredi_Scolaire
10052;CLAIRVAUX GENDARMERIE;46.5810546875;5.747231960296631;0;0;0;3;5;3;4;2;2;3;5
10053;CLAIRVAUX MAIRIE;46.57607650756836;5.750545978546143;0;0;1;5;7;5;5;2;2;5;7
10054;PLACE;46.58110427856445;5.758332252502441;0;0;0;2;4;2;2;2;2;2;4
10055;CAR. DE LA POTIERE;46.81853103637695;5.453577995300293;0;0;2;3;3;3;3;0;0;2;3
10056;RUE DES COMBES;46.80261993408203;5.451625823974609;0;0;4;7;7;7;5;0;0;4;7
10057;LE VILLARNIER;46.787391662597656;5.446972846984863;0;0;2;3;3;3;3;0;0;2;3
10058;VILLAGE;46.65459060668945;5.59837007522583;0;0;0;3;5;3;4;2;2;3;5
10059;LA GRENETTE;46.532928466796875;5.391972064971924;0;0;3;10;10;10;10;7;7;10;10
10060;ABRIBUS;46.510284423828125;5.704581260681152;0;0;5;7;10;7;5;6;6;6;8
10061;CRANCOT VILLAGE;46.68777084350586;5.660274028778076;0;0;0;10;11;10;7;4;4;6;10
10062;MAIRIE;46.75111770629883;5.813830375671387;0;0;0;10;11;10;7;4;4;6;10
10063;BIFURCATION DEVIATION;46.53977966308594;5.396256446838379;0;0;2;5;5;5;5;4;4;5;5
10064;DESCHAUX (LE) SALLE DES FETES;46.95011520385742;5.502163887023926;4;4;6;12;12;12;12;5;5;12;13
10065;AVENUE DE LAHR;47.08937072753906;5.495654582977295;0;0;0;6;6;6;5;0;0;3;6
10066;CES BASTIE;47.083621978759766;5.470768928527832;0;0;0;2;2;2;2;0;0;0;2
10067;GARE ROUTIERE;47.096473693847656;5.490328311920166;4;4;8;24;24;24;22;5;5;22;25
10068;LE PORT-STADE;47.09014892578125;5.496832847595215;0;0;0;1;1;1;1;0;0;1;1
10069;DUHAMEL;47.08182144165039;5.473114490509033;0;0;2;7;7;7;7;0;0;6;7
10070;THEATRE;47.09133529663086;5.488186359405518;0;0;0;1;1;1;1;0;0;0;1
10071;DOMPIERRE/MONT PLACE EGLISE;46.55976104736328;5.610466003417969;0;0;5;7;10;7;5;6;6;6;8
