id_ag;id_ag_num;stop_name;stop_lat;stop_lon
204;10204;VILLARD ST SAUVEUR L'ESSARD;46.37148;5.8746862
205;10205;VILLARD ST SAUVEUR MONTBRILLANT;46.367664;5.8823867
206;10206;MAIRIE;46.415447;5.730666
207;10207;ECOLE;46.415253;5.734903
208;10208;EGLISE;46.736908;5.46436
209;10209;VINCELLES ROUTE DE BONNAUD;46.60456;5.466851
21;10021;COLLEGE;46.7436;5.457362
210;10210;VILLAGE;46.890953;5.302698
211;10211;BROUCHY;46.481995;5.3656588
212;10212;GOZ;46.48121;5.367117
213;10213;COLLEGE;46.498825;5.3894434
214;10214;ROND POINT;46.46944;5.359392
215;10215;LE BOURG;46.46839;5.3593626
216;10216;CHATEAU D'EAU;46.88367;5.267268
217;10217;BRETELLE RD1083;46.516624;5.388059
218;10218;GARAGE;46.51714;5.389505
219;10219;1232 RUE DU VIVIER;46.531082;6.124508
22;10022;FRONTIERE;46.545956;6.1554627
220;10220;SALINES;46.93718;5.8772883
221;10221;RD 475;46.92238;5.515668
222;10222;AV BAD KREUZNACH;46.21463;5.2429495
223;10223;RD 905 / PHARMACIE;47.023457;5.494643
224;10224;GENDARMERIE;46.437473;5.343398
225;10225;MOULIN DES PONTS;46.3322;5.314566
226;10226;ALIMENTEC TUB;46.21531;5.243946
227;10227;BRETELLE RD1083;46.53967;5.398222
228;10228;PLACE DE VERDUN;46.67388;5.5594416
229;10229;MAIRIE;46.87087;5.899922
23;10023;L'AUVERGNE;46.52236;6.124892
230;10230;CHAMP DE FOIRE;46.494083;5.3865986
231;10231;RD33/D1;46.82761;5.461248
232;10232;RTE  POLIGNY;46.97222;5.6044445
233;10233;CARRE AMIOT;46.207542;5.2279296
234;10234;BARGES;46.95945;5.8333273
235;10235;TOUR-DU-MEIX (LA) - SURCHAUFFANT;46.5197;5.6712313
236;10236;2982 RUE DU VIVIER;46.519302;6.1059093
237;10237;ROUTE DE LYON;46.381027;5.8300257
238;10238;MONTS;46.693024;5.596601
239;10239;LABALME;46.1998;5.2259946
24;10024;LE RENOUVEAU;46.539577;6.1381745
240;10240;REPUBLIQUE;47.326794;5.0441923
241;10241;MIGAILLE;46.992146;5.557543
242;10242;FAC DES SCIENCES;47.315727;5.0647526
243;10243;FAC DES SCIENCES;47.31494;5.064015
25;10025;LE VIVIER;46.52239;6.1099668
26;10026;MEUNIERS;46.52917;6.1332903
27;10027;SALLE POLYVALENTE;46.537598;6.1372476
28;10028;SKI VANDEL;46.538883;6.145832
29;10029;1132 RUE FRANCHE-COM;46.525642;6.128807
3;10003;VILLAGE;46.36723;5.994941
