id_ap;stop_lat;stop_lon;stop_name;id_ag;id_ap_num;id_ag_num
0001;45.14628982543945;5.690710067749023;SEYSSINS, COMBOIRE;COM;100001;10207
0002;45.18415832519531;5.747489929199219;SAINT-MARTIN-D'HERES, JULES VALLES PROVISOIRE;JVA;100002;10379
0003;45.184120178222656;5.747389793395996;GRENOBLE, JULES VALLES PROVISOIRE;JVA;100003;10379
0006;45.20317077636719;5.745359897613525;LA TRONCHE, COMMANDANT NAL;COMMANAL;100004;10211
0007;45.20566177368164;5.748809814453125;LA TRONCHE, MUSEE HEBERT;MUSHEBER;100005;10528
0008;45.206199645996094;5.75206995010376;LA TRONCHE, CENTRE THEOLOGIQUE;CENTHEOL;100006;10122
0009;45.223880767822266;5.818940162658691;MONTBONNOT-SAINT-MARTIN, PRE DE L'EAU;EAU;100007;10255
0011;45.211280822753906;5.787240028381348;MEYLAN, MALACHER;MALACHER;100008;10476
0012;45.200950622558594;5.758120059967041;LA TRONCHE, LA CARRONNERIE BASSE;CARONBAS;100009;10110
0013;45.226688385009766;5.787189960479736;MEYLAN, CHEMIN DE L'EGLISE;MEG;100010;10501
0014;45.22666931152344;5.787300109863281;MEYLAN, CHEMIN DE L'EGLISE;MEG;100011;10501
0016;45.20936965942383;5.776989936828613;MEYLAN, MEYLAN MAIRIE;MEYLMAIR;100012;10504
0018;45.20600128173828;5.771810054779053;MEYLAN, BUCLOS;BUC1;100013;10099
0019;45.20587158203125;5.771780014038086;MEYLAN, BUCLOS;BUC1;100014;10099
0020;45.224830627441406;5.837629795074463;SAINT-ISMIER, BOIS FRANCAIS;BOISFRAN;100015;10085
0021;45.20746994018555;5.767849922180176;MEYLAN, LA REVIREE;REV;100016;10647
0022;45.20983123779297;5.713799953460693;SAINT-MARTIN-LE-VINOUX, SOUCHET;SOU;100017;10702
0025;45.2098503112793;5.713910102844238;SAINT-MARTIN-LE-VINOUX, SOUCHET;SOU;100018;10702
0026;45.204498291015625;5.759250164031982;MEYLAN, LES LECHERES;LECHERES;100019;10419
0027;45.205230712890625;5.758540153503418;MEYLAN, LES LECHERES;LECHERES;100020;10419
0028;45.20267868041992;5.76092004776001;MEYLAN, PLAINE FLEURIE;PLAINEFL;100021;10590
0029;45.220638275146484;5.789150238037109;MEYLAN, LES JAILLIERES;JAILLIER;100022;10369
0030;45.219451904296875;5.786029815673828;MEYLAN, SAINT-MURY;STMURY;100023;10723
0031;45.21879959106445;5.783050060272217;MEYLAN, BERIVIERE;BERIVIER;100024;10073
0032;45.21601104736328;5.779429912567139;MEYLAN, LES MURIERS;MURIERS;100025;10525
0033;45.21242141723633;5.769830226898193;MEYLAN, CHAUMETIERE;CHAUMETI;100026;10153
0034;45.21281814575195;5.773029804229736;MEYLAN, SAINT-JEAN BOSCO;STJBOSCO;100027;10720
0035;45.21419143676758;5.779059886932373;MEYLAN, LYCEE DU GRESIVAUDAN - BACHAIS;LYCBACHA;100028;10466
0037;45.201541900634766;5.83814001083374;DOMENE, DOMENE MAIRIE;DOMENEMA;100029;10246
0038;45.196380615234375;5.828829765319824;DOMENE, LES MORTES;MORTES;100030;10518
0039;45.19184875488281;5.816659927368164;MURIANETTE, LE BOURG;BOURG;100031;10090
0040;45.189029693603516;5.8100199699401855;GIERES, LA PERRIERE;PERRIERE;100032;10574
0041;45.1897087097168;5.811779975891113;MURIANETTE, LA PERRIERE;PERRIERE;100033;10574
0042;45.18748092651367;5.807010173797607;GIERES, LE JAPIN;LEJAPIN;100034;10427
0043;45.18581008911133;5.802820205688477;GIERES, CHAMPRONDET;CHAMPRON;100035;10134
0044;45.18389892578125;5.798490047454834;GIERES, PIED DE GIERES;PIEDGIER;100036;10579
0045;45.18378829956055;5.79856014251709;GIERES, PIED DE GIERES;PIEDGIER;100037;10579
0051;45.11777877807617;5.667980194091797;CLAIX, LES ROSES;ROSES;100038;10668
0052;45.117919921875;5.667389869689941;CLAIX, LES ROSES;ROSES;100039;10668
0053;45.1710205078125;5.821889877319336;VENON, LE CHAPON;LECHAPON;100040;10417
0054;45.170921325683594;5.821869850158691;VENON, LE CHAPON;LECHAPON;100041;10417
0055;45.170101165771484;5.813630104064941;VENON, LE REYNET;LEREYNET;100042;10441
0056;45.17002868652344;5.813690185546875;VENON, LE REYNET;LEREYNET;100043;10441
0059;45.144508361816406;5.700729846954346;ECHIROLLES, DANIELLE CASANOVA;CASANOVA;100044;10113
0063;45.172611236572266;5.810369968414307;VENON, LE PERROUD;LEPERROU;100045;10436
0064;45.17253112792969;5.81043004989624;VENON, LE PERROUD;LEPERROU;100046;10436
0065;45.15827941894531;5.759779930114746;POISAT, CENTRE SOCIO-CULTUREL;CENSOCIO;100047;10121
0067;45.17028045654297;5.810840129852295;VENON, SOUS-PERROUD;SOUSPERO;100048;10704
0068;45.17028045654297;5.810739994049072;VENON, SOUS-PERROUD;SOUSPERO;100049;10704
0070;45.2146110534668;5.704480171203613;SAINT-MARTIN-LE-VINOUX, L'HERMITAGE;LHERMITA;100050;10456
0071;45.147029876708984;5.726029872894287;ECHIROLLES, LE CHATEAU;CHATEAU;100051;10146
0072;45.14712905883789;5.726230144500732;ECHIROLLES, LE CHATEAU;CHATEAU;100052;10146
0073;45.17053985595703;5.807519912719727;VENON, LA CHENAIE;LACHENAI;100053;10385
0074;45.170509338378906;5.807449817657471;VENON, LA CHENAIE;LACHENAI;100054;10385
0075;45.22610855102539;5.725409984588623;SAINT-MARTIN-LE-VINOUX, LEVETIERE;LEVETIER;100055;10455
0076;45.159271240234375;5.726719856262207;GRENOBLE, EDMOND ESMONIN;EDMOESMO;100056;10266
0077;45.22621154785156;5.674469947814941;SAINT-EGREVE, CHAMPAVIOTTE  VENCE;EGISE;100057;10269
0078;45.226409912109375;5.674320220947266;SAINT-EGREVE, CHAMPAVIOTTE  VENCE;EGISE;100058;10269
0079;45.14352035522461;5.729440212249756;ECHIROLLES, STADE;STADE;100059;10706
0080;45.22610092163086;5.725490093231201;SAINT-MARTIN-LE-VINOUX, LEVETIERE;LEVETIER;100060;10455
0083;45.221988677978516;5.7246198654174805;SAINT-MARTIN-LE-VINOUX, LACHAL;LACHAL;100061;10383
0084;45.158531188964844;5.706459999084473;GRENOBLE, RONDEAU;SEYRON;100062;10693
0085;45.15888977050781;5.7052202224731445;GRENOBLE, RONDEAU;SEYRON;100063;10693
0088;45.22261047363281;5.724790096282959;SAINT-MARTIN-LE-VINOUX, LACHAL;LACHAL;100064;10383
0089;45.21760177612305;5.721869945526123;SAINT-MARTIN-LE-VINOUX, MAS CACHE;LEMASGAC;100065;10431
0090;45.25630187988281;5.627880096435547;VEUREY-VOROIZE, LA CUCHE;LACUCHE;100066;10387
0092;45.217411041259766;5.721980094909668;SAINT-MARTIN-LE-VINOUX, MAS CACHE;LEMASGAC;100067;10431
0093;45.17182159423828;5.804699897766113;VENON, VENON MAIRIE;VENONMAI;100068;10756
0094;45.171661376953125;5.804810047149658;VENON, VENON MAIRIE;VENONMAI;100069;10756
0095;45.17388916015625;5.802770137786865;VENON, LA VILLE;LAVILLE;100070;10413
0096;45.17407989501953;5.802579879760742;VENON, LA VILLE;LAVILLE;100071;10413
0097;45.215110778808594;5.719079971313477;SAINT-MARTIN-LE-VINOUX, LA GOMMA;LAGOMMA;100072;10392
0100;45.2153205871582;5.719540119171143;SAINT-MARTIN-LE-VINOUX, LA GOMMA;LAGOMMA;100073;10392
0101;45.16218185424805;5.749159812927246;EYBENS, LA CHATELIERE;CHATELIE;100074;10149
0102;45.16217041015625;5.74901008605957;EYBENS, LA CHATELIERE;CHATELIE;100075;10149
0103;45.151100158691406;5.74960994720459;EYBENS, LES JAVAUX;JAVAUX;100076;10370
0104;45.153350830078125;5.7485198974609375;EYBENS, ODYSSEE;ODYSSEE;100077;10543
0105;45.15924835205078;5.745610237121582;EYBENS, VAL D'EYBENS;VALEYBEN;100078;10745
0106;45.211761474609375;5.717700004577637;SAINT-MARTIN-LE-VINOUX, HOTEL BELLEVUE;HOTELBEL;100079;10355
0107;45.198211669921875;5.834070205688477;DOMENE, L'ORATOIRE;ORATOIRE;100080;10545
0108;45.12950134277344;5.777289867401123;BRIE-ET-ANGONNES, SOUVEYRON;BRSOU;100081;10097
0109;45.12955856323242;5.777490139007568;BRIE-ET-ANGONNES, SOUVEYRON;BRSOU;100082;10097
0110;45.15753173828125;5.7641801834106445;POISAT, CIMETIERE INTERCOMMUNAL;PREMOL;100083;10621
0115;45.218299865722656;5.779210090637207;MEYLAN, HAUT-MEYLAN;HTMEYLAN;100084;10357
0116;45.21154022216797;5.717800140380859;SAINT-MARTIN-LE-VINOUX, HOTEL BELLEVUE;HOTELBEL;100085;10355
0117;45.17304992675781;5.7982001304626465;VENON, LA SERRALIERE;LASERRAL;100086;10407
0118;45.172821044921875;5.798079967498779;VENON, LA SERRALIERE;LASERRAL;100087;10407
0119;45.17525100708008;5.795000076293945;VENON, LA FAURIE;LAFAURIE;100088;10388
0120;45.175411224365234;5.7946600914001465;VENON, LA FAURIE;LAFAURIE;100089;10388
0125;45.20964050292969;5.717979907989502;SAINT-MARTIN-LE-VINOUX, LES COMBES;LESCOMBE;100090;10445
0128;45.2097282409668;5.718080043792725;SAINT-MARTIN-LE-VINOUX, LES COMBES;LESCOMBE;100091;10445
0131;45.18109130859375;5.7884697914123535;GIERES, EDELWEISS;EDELWEIS;100092;10264
0132;45.181209564208984;5.788189888000488;GIERES, EDELWEISS;EDELWEIS;100093;10264
0133;45.205238342285156;5.718239784240723;SAINT-MARTIN-LE-VINOUX, LES FAUVETTES;LESFAUVE;100094;10449
0134;45.196441650390625;5.6771697998046875;FONTAINE, GERARD PHILIPE;GERARPHI;100095;10320
0135;45.20658874511719;5.71750020980835;SAINT-MARTIN-LE-VINOUX, LES FAUVETTES;LESFAUVE;100096;10449
0137;45.19784927368164;5.688700199127197;FONTAINE, JULES GUESDE;JULESGUE;100097;10377
0139;45.194210052490234;5.694739818572998;FONTAINE, RUE PASTEUR;RUEPASTE;100098;10677
0141;45.20362854003906;5.717040061950684;SAINT-MARTIN-LE-VINOUX, PLACE DU VILLAGE;SMVINOUX;100099;10698
0142;45.203609466552734;5.71668004989624;SAINT-MARTIN-LE-VINOUX, PLACE DU VILLAGE;SMVINOUX;100100;10698
0144;45.16434860229492;5.721350193023682;GRENOBLE, LUCIEN ANDRIEUX;GRAND;100101;10328
0149;45.22687911987305;5.720729827880859;SAINT-MARTIN-LE-VINOUX, RIPAILLERE;RIPAILLE;100102;10651
0150;45.19757843017578;5.6934099197387695;FONTAINE, CHARMETTES;CHARMETT;100103;10142
0151;45.19786071777344;5.693039894104004;FONTAINE, CHARMETTES;CHARMETT;100104;10142
0152;45.19139099121094;5.695059776306152;FONTAINE, CURIE - VERCORS;CURIVERC;100105;10234
0154;45.2495002746582;5.667109966278076;FONTANIL-CORNILLON, RAFOUR;RAFOUR;100106;10639
0156;45.226829528808594;5.720829963684082;SAINT-MARTIN-LE-VINOUX, RIPAILLERE;RIPAILLE;100107;10651
0157;45.2495002746582;5.631700038909912;NOYAREY, LE RUISSET;RUISSET;100108;10679
0158;45.22507858276367;5.719180107116699;SAINT-MARTIN-LE-VINOUX, GATINET;LEGATINE;100109;10422
0159;45.24287033081055;5.6320600509643555;NOYAREY, BASCULE;NOYARBAS;100110;10541
0160;45.23640823364258;5.638070106506348;NOYAREY, CHAULNES;CHAULNES;100111;10151
0161;45.23196029663086;5.645259857177734;NOYAREY, PRAPARIS - LES ROSES;PRAPAROS;100112;10615
0162;45.22499084472656;5.719210147857666;SAINT-MARTIN-LE-VINOUX, GATINET;LEGATINE;100113;10422
0168;45.20655822753906;5.708829879760742;SAINT-MARTIN-LE-VINOUX, CONRAD KILIAN;CONRADKI;100114;10217
0169;45.2064208984375;5.708779811859131;SAINT-MARTIN-LE-VINOUX, CONRAD KILIAN;CONRADKI;100115;10217
0174;45.239959716796875;5.684060096740723;SAINT-EGREVE, EGLISE;EGLISESE;100116;10270
0176;45.23783874511719;5.688910007476807;SAINT-EGREVE, LA MONTA;LAMONTA;100117;10397
0177;45.219970703125;5.71504020690918;SAINT-MARTIN-LE-VINOUX, LA RIVOIRE;LARIVOIR;100118;10406
0180;45.22922134399414;5.649730205535889;SASSENAGE, PRAPARIS USINE;PRAPARIS;100119;10614
0181;45.21501159667969;5.661109924316406;SASSENAGE, LA ROLLANDIERE;ROLLANDI;100120;10661
